"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,Location,NRC Region,Licensee,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Contructor,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent)
"Point Beach Nuclear Plant, Unit 1",Point Beach 1,5000266,"Two Rivers, WI (13 MI NNW of Manitowoc,ÊÊWI)",3,"NextEra Energy Point Beach, LLC",PWR-DRYAMB,WEST 2LP,BECH,BECH,7/19/67,10/5/70,12/21/70,12/22/05,10/5/30,1800,,0.9,0.84,1,0.79,0.88,0.98,0.87,,0.81,0.81,0.97
"Point Beach Nuclear Plant, Unit 2",Point Beach 2,5000301,"Two Rivers, WI (13 MI NNW of Manitowoc,ÊÊWI)",3,"NextEra Energy Point Beach, LLC",PWR-DRYAMB,WEST 2LP,BECH,BECH,7/25/68,3/8/73,10/1/72,12/22/05,3/8/33,1800,AEC issued a provisional OL on 11/18/1971. The NRC issued a full-term OL on 03/08/1973.,0.9,0.93,0.89,0.67,0.96,0.84,0.89,,0.72,0.97,0.83
"Prairie Island Nuclear Generating Plant, Unit 1",Prairie Island 1,5000282,"Welch, MN (28 MI SE of Minneapolis,ÊÊMN)",3,Northern States Power Co. Minnesota ,PWR-DRYAMB,WEST 2LP,FLUR,NSP,6/25/68,4/5/74,12/16/73,6/27/11,8/9/33,1677,AEC issued a provisional OL on 08/09/1973. The NRC issued a full-term OL on 04/05/1974.,0.84,0.9,0.81,0.91,0.96,0.97,0.84,,0.99,0.79,1.01
"Prairie Island Nuclear Generating Plant, Unit 2",Prairie Island 2,5000306,"Welch, MN (28 MI SE of Minneapolis,ÊÊMN)",3,Northern States Power Co. Minnesota ,PWR-DRYAMB,WEST 2LP,FLUR,NSP,6/25/68,10/29/74,12/21/74,6/27/11,10/29/34,1677,,1.01,0.59,0.74,0.99,0.86,0.75,0.85,,0.84,1.02,0.93
"Quad Cities Nuclear Power Station, Unit 1",Quad Cities 1,5000254,"Cordova, IL (20 MI NE of Moline,ÊÊIL)",3,"Exelon Generation Co., LLC",BWR-MARK 1,GE 3,S&L,UE&C,2/15/67,12/14/72,2/18/73,10/28/04,12/14/32,2957,,1.03,0.85,1.02,0.92,0.99,0.82,0.96,,0.83,0.85,0.9
"Quad Cities Nuclear Power Station, Unit 2",Quad Cities 2,5000265,"Cordova, IL (20 MI NE of Moline,ÊÊIL)",3,"Exelon Generation Co., LLC",BWR-MARK 1,GE 3,S&L,UE&C,2/15/67,12/14/72,3/10/73,10/28/04,12/14/32,2957,,0.9,0.91,0.92,1.04,0.92,0.91,0.86,,0.93,0.81,0.92
R.E. Ginna Nuclear Power Plant,Ginna,5000244,"Ontario, NY (20 MI NE of Rochester,ÊÊNY)",1,"R.E. Ginna Nuclear Power Plant, LLC",PWR-DRYAMB,WEST 2LP,GIL,BECH,4/25/66,9/19/69,7/1/70,5/19/04,9/18/29,1775,,0.91,0.93,0.9,0.84,0.97,0.91,1.09,,0.92,0.99,0.89
"River Bend Station, Unit 1",River Bend 1,5000458,"St. Francisville, LA (24 MI NNW of Baton Rouge,ÊÊLA)",4,"Entergy Nuclear Operations, Inc.",BWR-MARK 3,GE 6,S&W,S&W,3/25/77,11/20/85,6/16/86,N/A,8/29/25,3091,,0.96,0.84,0.91,0.9,0.98,1.13,0.82,,0.93,0.87,0.89
"St. Lucie Plant, Unit 1",Saint Lucie 1,5000335,"Jensen Beach, FL (10 MI SE of Ft. Pierce,ÊÊFL)",2,Florida Power & Light Co.,PWR-DRYAMB,CE,EBSO,EBSO,7/1/70,3/1/76,12/21/76,10/2/03,3/1/36,3020,,1.01,0.74,0.72,0.85,0.72,1,0.91,,0.83,0.86,1.02
"St. Lucie Plant, Unit 2",Saint Lucie 2,5000389,"Jensen Beach, FL (10 MI SE of Ft. Pierce,ÊÊFL)",2,Florida Power & Light Co.,PWR-DRYAMB,CE,EBSO,EBSO,5/2/77,6/10/83,8/8/83,10/2/03,4/6/43,3020,,0.82,0.91,0.68,0.66,1,0.8,0.99,,0.86,0.92,0.8
"Salem Nuclear Generating Station, Unit 1",Salem 1,5000272,"Hancocks Bridge, NJ (18 MI SE of Wilmington,ÊÊDE)",1,"PSEG Nuclear, LLC",PWR-DRYAMB,WEST 4LP,PSEG,UE&C,9/25/68,12/1/76,6/30/77,6/30/11,8/13/36,3459,,0.86,0.88,0.97,0.86,0.85,0.99,0.91,,0.92,0.72,0.94
"Salem Nuclear Generating Station, Unit 2",Salem 2,5000311,"Hancocks Bridge, NJ (18 MI SE of Wilmington,ÊÊDE)",1,"PSEG Nuclear, LLC",PWR-DRYAMB,WEST 4LP,PSEG,UE&C,9/25/68,5/20/81,10/13/81,6/30/11,4/18/40,3459,,0.73,1,0.88,0.89,0.98,0.93,0.83,,0.9,0.88,0.82
"Seabrook Station, Unit 1",Seabrook 1,5000443,"Seabrook, NH (13 MI S of Portsmouth,ÊÊNH)",1,"NextEra Energy Seabrook, LLC",PWR-DRYAMB,WEST 4LP,UE&C,UE&C,7/7/76,3/15/90,8/19/90,N/A,3/15/30,3648,,0.93,1,0.75,0.77,1,0.81,0.89,,0.89,1,0.91
"Sequoyah Nuclear Plant, Unit 1",Sequoyah 1,5000327,"Soddy-Daisy, TN (16 MI NE of Chattanooga,ÊÊTN)",2,Tenessee Valley Authority ,PWR-ICECND,WEST 4LP,TVA,TVA,5/27/70,9/17/80,7/1/81,N/A,9/17/20,3455,,1,0.83,0.89,0.98,0.84,0.89,1.01,,1,0.92,0.73
"Sequoyah Nuclear Plant, Unit 2",Sequoyah 2,5000328,"Soddy-Daisy, TN (16 MI NE of Chattanooga,ÊÊTN)",2,Tenessee Valley Authority ,PWR-ICECND,WEST 4LP,TVA,TVA,5/27/70,9/15/81,6/1/82,N/A,9/15/21,3455,,0.9,0.9,0.77,0.89,0.97,0.89,0.89,,0.9,0.96,0.84
"Shearon Harris Nuclear Power Plant, Unit 1",Shearon Harris 1,5000400,"New Hill, NC (20 MI SW of Raleigh,ÊÊNC)",2,"Duke Energy Progress, Inc.",PWR-DRYAMB,WEST 3LP,EBSO,DANI,1/27/78,10/24/86,5/2/87,12/17/08,10/24/46,2900,,0.99,0.83,0.9,1.03,0.9,0.94,0.99,,1.01,0.89,0.92
"South Texas Project, Unit 1",South Texas 1,5000498,"Bay City, TX (90 MI SW of Houston, TX)",4,STP Nuclear Operating Co.,PWR-DRYAMB,WEST 4LP,BECH,EBSO,12/22/75,3/22/88,8/25/88,N/A,8/20/27,3853,,0.81,0.91,0.93,0.94,1.01,0.9,0.95,,0.88,0.99,0.61
"South Texas Project, Unit 2",South Texas 2,5000499,"Bay City, TX (90 MI SW of Houston, TX)",4,STP Nuclear Operating Co.,PWR-DRYAMB,WEST 4LP,BECH,EBSO,12/22/75,3/28/89,6/19/89,N/A,12/15/28,3853,,1.03,0.59,0.72,0.88,0.88,1.01,0.95,,0.89,0.92,0.79
"Surry Nuclear Power Station, Unit 1",Surry 1,5000280,"Surry, VA (17 MI NW of Newport News,ÊÊVA)",2,Virginia Electric & Power Co.,PWR-DRYSUB,WEST 3LP,S&W,S&W,6/25/68,5/25/72,12/22/72,3/20/03,5/25/32,2587,,0.99,0.91,0.92,1.01,0.89,0.94,0.98,,0.96,0.92,0.76
"Surry Nuclear Power Station, Unit 2",Surry 2,5000281,"Surry, VA (17 MI NW of Newport News,ÊÊVA)",2,Virginia Electric & Power Co.,PWR-DRYSUB,WEST 3LP,S&W,S&W,6/25/68,1/29/73,5/1/73,3/20/03,1/29/33,2587,,0.95,1.01,0.91,0.76,1,0.92,0.94,,0.93,1.01,0.79
"Susquehanna Steam Electric Station, Unit 1",Susquehanna 2,5000387,"Salem Township, Luzerne Co., PA (70 MI NE of Harrisburg, PA)",1,"PPL Susquehanna, LLC",BWR-MARK 2,GE 4,BECH,BECH,11/3/73,7/17/82,6/8/83,11/24/09,7/17/42,3952,,0.83,0.87,0.7,0.86,0.8,1.01,0.89,,0.95,0.8,0.96
"Susquehanna Steam Electric Station, Unit 2",Susquehanna 1,5000388,"Salem Township, Luzerne Co., PA (70 MI NE of Harrisburg, PA)",1,"PPL Susquehanna, LLC",BWR-MARK 2,GE 4,BECH,BECH,11/3/73,3/23/84,2/12/85,11/24/09,3/23/44,3952,,0.88,0.8,0.83,0.72,0.96,0.9,1,,0.89,1,0.86
"Three Mile Island Nuclear Station, Unit 1",Three Mile Island 1,5000289,"Middletown, PA (10 MI SE of Harrisburg,ÊÊPA)",1,"Exelon Generation Co., LLC",PWR-DRYAMB,B&W LLP,GIL,UE&C,5/18/68,4/19/74,9/2/74,10/22/09,4/19/34,2568,,1.04,0.78,1,0.92,0.94,0.86,1.07,,0.98,1.02,0.9
Turkey Point Nuclear Generating Unit No. 3,Turkey Point 3,5000250,"Homestead, FL (20 MI S of Miami,ÊÊFL)",2,Florida Power & Light Co.,PWR-DRYAMB,WEST 3LP,BECH,BECH,4/27/67,7/19/72,12/14/72,6/6/02,7/19/32,2644,,0.84,0.81,0.4,0.96,0.88,0.86,1.01,,0.96,0.78,0.9
Turkey Point Nuclear Generating Unit No. 4,Turkey Point 4,5000251,"Homestead, FL (20 MI S of Miami,ÊÊFL)",2,Florida Power & Light Co.,PWR-DRYAMB,WEST 3LP,BECH,BECH,4/27/67,4/10/73,9/7/73,6/6/02,4/10/33,2644,,0.88,0.7,0.85,0.84,0.98,0.99,0.89,,0.89,0.7,
"Virgil C. Summer Nuclear Station, Unit 1",Summer,5000395,"Jenkinsville, SC (26 MI NW of Columbia,ÊÊSC)",2,South Carolina Electric & Gas Co.,PWR-DRYAMB,WEST 3LP,GIL,DANI,3/21/73,11/12/82,1/1/84,4/23/04,8/6/42,2900,,0.81,0.93,0.86,0.88,1,0.81,0.87,,0.88,0.97,0.87
"Vogtle Electric Generating Plant, Unit 1",Vogtle 1,5000424,"Waynesboro, GA (26 MI SE of Augusta,ÊÊGA)",2,Southern Nuclear Operating Co. ,PWR-DRYAMB,WEST 4LP,SBEC,GPC,6/28/74,3/16/87,6/1/87,6/3/09,1/16/47,3625.6,,0.87,1.01,0.91,0.92,1.02,0.91,0.93,,0.91,1,0.93
"Vogtle Electric Generating Plant, Unit 2",Vogtle 2,05000425',"Waynesboro, GA (26 MI SE of Augusta,ÊÊGA)",2,Southern Nuclear Operating Co. ,PWR-DRYAMB,WEST 4LP,SBEC,GPC,6/28/74,3/31/89,5/20/89,6/3/09,2/9/49,3625.6,,0.92,0.87,1.02,0.94,0.93,1.01,0.88,,0.85,0.91,0.97
"Waterford Steam Electric Station, Unit 3",Waterford 3,5000382,"Killona, LA (25 MI W of New Orleans,ÊÊLA)",4,"Entergy Operations, Inc.",PWR-DRYAMB,COMB CE,EBSO,EBSO,11/14/74,3/16/85,9/24/85,N/A,12/18/24,3716,,0.9,0.89,0.77,0.82,1,0.87,0.89,,0.78,1.01,0.89
"Watts Bar Nuclear Plant, Unit 1",Watts Bar 1,5000390,"Spring City, TN (60 MI SW of Knoxville,ÊÊTN)",2,Tenessee Valley Authority ,PWR-ICECND,WEST 4LP,TVA,TVA,1/23/73,2/7/96,5/27/96,N/A,11/9/35,3459,,0.89,0.9,0.87,0.84,0.99,0.94,0.82,,0.9,1,0.87
"Wolf Creek Generating Station, Unit 1",Wolf Creek 1,5000482,"Burlington (Coffey County), KS (28 MI SE of Emporia,ÊKS)",4,Wolf Creek Nuclear Operating Corp.,PWR-DRYAMB,WEST 4LP,BECH,DANI,5/17/77,6/4/85,9/3/85,11/20/08,3/11/45,3565,"The original OL (NPF-32) was issued on March 11, 1985. This license was superseded by OL( NPF-42) issued on June 4, 1985.",0.83,0.65,0.8,0.72,0.86,0.86,0.83,,0.86,0.99,0.87
