"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,Location,NRC Region,Licensee,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Contructor,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent)
"Catawba Nuclear Station, Unit 1",Catawba 1,5000413,"York, SC (18 MI S of Charlotte,ÊNC)",2,"Duke Energy Carolinas, LLC",PWR-ICECND,WEST 4LP,DUKE,DUKE,8/7/75,1/17/85,6/29/85,12/5/03,12/5/43,3411,,0.86,0.96,0.89,0.89,1,0.91,0.89,,0.93,0.98,0.83
"Catawba Nuclear Station, Unit 2",Catawba 2,5000414,"York, SC (18 MI S of Charlotte,ÊNC)",2,"Duke Energy Carolinas, LLC",PWR-ICECND,WEST 4LP,DUKE,DUKE,8/7/75,5/15/86,8/19/86,12/5/03,12/5/43,3411,,1,0.86,0.92,1.01,0.92,0.9,1.03,,1.02,0.89,0.94
"Clinton Power Station, Unit 1",Clinton,5000461,"Clinton, IL (23 MI SSE of Bloomington, IL)",3,"Exelon Generation Co., LLC",BWR-MARK 3,GE 6,S&L,BALD,2/24/76,4/17/87,11/24/87,N/A,9/29/26,3473,,0.97,0.82,1,0.93,0.92,0.97,0.99,,0.94,0.88,0.97
"Columbia Generating Station, Unit 2",Columbia Generating Station,5000397,"Richland, WA (20 MI NNE of Pasco, WA)",4,Energy Northwest,BWR-MARK 2,GE 5,B&R,BECH,3/19/73,4/13/84,12/13/84,5/22/12,12/20/43,3486,,0.98,0.8,0.97,0.5,0.95,0.67,0.93,,0.83,0.91,0.79
"Comanche Peak Steam Electric Station, Unit 1",Comanche Peak 1,5000445,"Glen Rose, TX (40 MI SW of Fort Worth, TX)",4,"Luminant Generation Co., LLC",PWR-DRYAMB,WEST 4LP,G&H,BRRT,12/19/74,4/17/90,8/13/90,N/A,2/8/30,3612,,0.85,0.94,0.98,0.91,0.91,1,0.96,,0.92,0.9,1.01
"Comanche Peak Steam Electric Station, Unit 2",Comanche Peak 2,5000446,"Glen Rose, TX (40 MI SW of Fort Worth, TX)",4,"Luminant Generation Co., LLC",PWR-DRYAMB,WEST 4LP,BECH,BRRT,12/19/74,4/6/93,8/3/93,N/A,2/2/33,3612,,0.93,0.99,0.91,0.92,1.04,0.94,0.95,,0.92,0.99,0.83
Cooper Nuclear Station ,Cooper,5000298,"Brownville, NE (23 MI S of Nebraska City,ÊÊNE)",4,Nebraska Public Power District,BWR-MARK 1,GE 4,B&R,B&R,6/4/68,1/18/74,7/1/74,11/29/10,1/18/34,2419,,0.88,0.97,0.87,0.86,1,0.72,0.9,,0.89,0.93,0.68
"Davis-Besse Nuclear Power Station, Unit 1",Davis-Besse,5000346,"Oak Harbor, OH (21 MI ESE of Toledo,ÊÊOH)",3,First Energy Nuclear Operating Co.,PWR-DRYAMB,B&W RLP,BECH,B&W,3/24/71,4/22/77,7/31/78,N/A,4/22/17,2817,,0.74,0.95,0.91,0.81,0.66,0.99,0.97,,0.94,0.75,-0.01
"Diablo Canyon Nuclear Power Plant, Unit 1",Diablo Canyon 1,5000275,"Avila Beach, CA (12 MI WSW of San Luis Obispo,ÊÊCA)",4,Pacific Gas & Electric Co.,PWR-DRYAMB,WEST 4LP,PG&E,PG&E,4/23/68,11/2/84,5/7/85,N/A,11/2/24,3411,,0.87,0.95,0.84,1,0.88,0.84,0.98,,0.87,0.76,1.01
"Diablo Canyon Nuclear Power Plant, Unit 2",Diablo Canyon 2,5000323,"Avila Beach, CA (12 MI WSW of San Luis Obispo,ÊÊCA)",4,Pacific Gas & Electric Co.,PWR-DRYAMB,WEST 4LP,PG&E,PG&E,12/9/70,8/26/85,3/13/86,N/A,8/26/25,3411,,0.86,0.82,0.97,0.89,1,0.84,0.74,,0.99,0.84,0.81
"Donald C. Cook Nuclear Power Plant, Unit 1",D.C. Cook 1,5000315,"Bridgman, MI (13 M S of Benton Harbor, MI)",3,Indiana Michigan Power Co.,PWR-ICECND,WEST 4LP,AEP,AEP,3/25/69,10/25/74,8/28/75,8/30/05,10/25/34,3304,,0.94,0.78,1.04,0.87,0.88,0.03,0.64,,0.91,0.99,0.74
"Donald C. Cook Nuclear Power Plant, Unit 2",D.C. Cook 2 ,5000316,"Bridgman, MI (13 M S of Benton Harbor, MI)",3,Indiana Michigan Power Co.,PWR-ICECND,WEST 4LP,AEP,AEP,3/25/69,12/23/77,7/1/78,8/30/05,12/23/37,3468,,1.01,0.85,0.91,1.04,0.84,0.87,1.01,,1,0.84,0.75
"Dresden Nuclear Power Station, Unit 2",Dresden 2,5000237,"Morris, IL (25 M SW of Joliet, IL)",3,"Exelon Generation Co., LLC",BWR-MARK 1,GE 3,S&L,UE&C,1/10/66,2/20/91,6/9/70,10/28/04,12/22/29,2957,"AEC issued a provisional OL on 12/22/1969, allowing commercial operations. The NRC issued a full-term OL on 02/20/1991.",0.98,0.85,1.04,0.95,1.02,0.91,0.98,,0.87,0.78,0.9
