Community Area Name,Year,Infant Death
Rogers Park,2005,7
Rogers Park,2006,8
Rogers Park,2007,7
Rogers Park,2008,2
Rogers Park,2009,5
West Ridge,2005,9
West Ridge,2006,5
West Ridge,2007,8
West Ridge,2008,4
West Ridge,2009,5
Uptown,2005,2
Uptown,2006,7
Uptown,2007,4
Uptown,2008,7
Uptown,2009,5
Lincoln Square,2005,2
Lincoln Square,2006,2
Lincoln Square,2007,3
Lincoln Square,2008,3
Lincoln Square,2009,2
North Center,2005,1
North Center,2006,1
North Center,2007,3
North Center,2008,2
North Center,2009,2
Lake View,2005,4
Lake View,2006,1
Lake View,2007,3
Lake View,2008,4
Lake View,2009,1
Lincoln Park,2005,1
Lincoln Park,2006,3
Lincoln Park,2007,2
Lincoln Park,2008,2
Lincoln Park,2009,2
Near North Side,2005,6
Near North Side,2006,6
Near North Side,2007,5
Near North Side,2008,4
Near North Side,2009,5
Edison Park,2005,0
Edison Park,2006,0
Edison Park,2007,1
Edison Park,2008,0
Edison Park,2009,2
Norwood Park,2005,3
Norwood Park,2006,2
Norwood Park,2007,2
Norwood Park,2008,1
Norwood Park,2009,1
Jefferson Park,2005,0
Jefferson Park,2006,4
Jefferson Park,2007,6
Jefferson Park,2008,4
Jefferson Park,2009,0
Forest Glen,2005,0
Forest Glen,2006,3
Forest Glen,2007,0
Forest Glen,2008,1
Forest Glen,2009,0
North Park,2005,1
North Park,2006,0
North Park,2007,2
North Park,2008,1
North Park,2009,2
Albany Park,2005,5
Albany Park,2006,9
Albany Park,2007,1
Albany Park,2008,3
Albany Park,2009,6
Portage Park,2005,6
Portage Park,2006,6
Portage Park,2007,4
Portage Park,2008,3
Portage Park,2009,3
Irving Park,2005,4
Irving Park,2006,6
Irving Park,2007,5
Irving Park,2008,2
Irving Park,2009,7
Dunning,2005,6
Dunning,2006,1
Dunning,2007,0
Dunning,2008,4
Dunning,2009,1
Montclaire,2005,0
Montclaire,2006,2
Montclaire,2007,1
Montclaire,2008,0
Montclaire,2009,2
Belmont Cragin,2005,9
Belmont Cragin,2006,10
Belmont Cragin,2007,10
Belmont Cragin,2008,9
Belmont Cragin,2009,8
Hermosa,2005,5
Hermosa,2006,5
Hermosa,2007,4
Hermosa,2008,4
Hermosa,2009,7
Avondale,2005,6
Avondale,2006,6
Avondale,2007,4
Avondale,2008,4
Avondale,2009,2
Logan Square,2005,8
Logan Square,2006,3
Logan Square,2007,6
Logan Square,2008,8
Logan Square,2009,4
Humboldt Park,2005,9
Humboldt Park,2006,12
Humboldt Park,2007,14
Humboldt Park,2008,16
Humboldt Park,2009,10
West Town,2005,8
West Town,2006,10
West Town,2007,7
West Town,2008,4
West Town,2009,8
Austin,2005,24
Austin,2006,27
Austin,2007,21
Austin,2008,24
Austin,2009,29
West Garfield Park,2005,7
West Garfield Park,2006,9
West Garfield Park,2007,11
West Garfield Park,2008,4
West Garfield Park,2009,6
East Garfield Park,2005,2
East Garfield Park,2006,3
East Garfield Park,2007,4
East Garfield Park,2008,9
East Garfield Park,2009,4
Near West Side,2005,9
Near West Side,2006,8
Near West Side,2007,5
Near West Side,2008,11
Near West Side,2009,5
North Lawndale,2005,8
North Lawndale,2006,11
North Lawndale,2007,9
North Lawndale,2008,13
North Lawndale,2009,12
South Lawndale,2005,13
South Lawndale,2006,6
South Lawndale,2007,7
South Lawndale,2008,9
South Lawndale,2009,16
Lower West Side,2005,3
Lower West Side,2006,6
Lower West Side,2007,5
Lower West Side,2008,3
Lower West Side,2009,2
Loop,2005,2
Loop,2006,1
Loop,2007,1
Loop,2008,2
Loop,2009,0
Near South Side,2005,3
Near South Side,2006,0
Near South Side,2007,1
Near South Side,2008,3
Near South Side,2009,1
Armour Square,2005,0
Armour Square,2006,1
Armour Square,2007,0
Armour Square,2008,0
Armour Square,2009,0
Douglas,2005,3
Douglas,2006,5
Douglas,2007,3
Douglas,2008,2
Douglas,2009,2
Oakland,2005,0
Oakland,2006,0
Oakland,2007,2
Oakland,2008,1
Oakland,2009,1
Fuller Park,2005,1
Fuller Park,2006,1
Fuller Park,2007,3
Fuller Park,2008,0
Fuller Park,2009,0
Grand Boulevard,2005,4
Grand Boulevard,2006,3
Grand Boulevard,2007,3
Grand Boulevard,2008,4
Grand Boulevard,2009,5
Kenwood,2005,0
Kenwood,2006,3
Kenwood,2007,5
Kenwood,2008,2
Kenwood,2009,0
Washington Park,2005,6
Washington Park,2006,3
Washington Park,2007,7
Washington Park,2008,5
Washington Park,2009,3
Hyde Park,2005,3
Hyde Park,2006,2
Hyde Park,2007,2
Hyde Park,2008,5
Hyde Park,2009,2
Woodlawn,2005,6
Woodlawn,2006,0
Woodlawn,2007,4
Woodlawn,2008,10
Woodlawn,2009,3
South Shore,2005,14
South Shore,2006,9
South Shore,2007,7
South Shore,2008,11
South Shore,2009,8
Chatham,2005,7
Chatham,2006,4
Chatham,2007,7
Chatham,2008,3
Chatham,2009,4
Avalon Park,2005,0
Avalon Park,2006,4
Avalon Park,2007,1
Avalon Park,2008,0
Avalon Park,2009,2
South Chicago,2005,14
South Chicago,2006,11
South Chicago,2007,10
South Chicago,2008,5
South Chicago,2009,13
Burnside,2005,2
Burnside,2006,0
Burnside,2007,1
Burnside,2008,0
Burnside,2009,0
Calumet Heights,2005,1
Calumet Heights,2006,3
Calumet Heights,2007,5
Calumet Heights,2008,1
Calumet Heights,2009,1
Roseland,2005,6
Roseland,2006,4
Roseland,2007,8
Roseland,2008,6
Roseland,2009,9
Pullman,2005,2
Pullman,2006,2
Pullman,2007,2
Pullman,2008,2
Pullman,2009,0
South Deering,2005,3
South Deering,2006,0
South Deering,2007,4
South Deering,2008,4
South Deering,2009,3
East Side,2005,1
East Side,2006,1
East Side,2007,1
East Side,2008,1
East Side,2009,4
West Pullman,2005,8
West Pullman,2006,8
West Pullman,2007,5
West Pullman,2008,5
West Pullman,2009,7
Riverdale,2005,1
Riverdale,2006,1
Riverdale,2007,0
Riverdale,2008,0
Riverdale,2009,2
Hegewisch,2005,1
Hegewisch,2006,0
Hegewisch,2007,2
Hegewisch,2008,1
Hegewisch,2009,1
Garfield Ridge,2005,3
Garfield Ridge,2006,4
Garfield Ridge,2007,2
Garfield Ridge,2008,2
Garfield Ridge,2009,0
Archer Heights,2005,2
Archer Heights,2006,3
Archer Heights,2007,0
Archer Heights,2008,0
Archer Heights,2009,2
Brighton Park,2005,4
Brighton Park,2006,7
Brighton Park,2007,6
Brighton Park,2008,5
Brighton Park,2009,8
McKinley Park,2005,3
McKinley Park,2006,1
McKinley Park,2007,2
McKinley Park,2008,2
McKinley Park,2009,2
Bridgeport,2005,1
Bridgeport,2006,4
Bridgeport,2007,5
Bridgeport,2008,4
Bridgeport,2009,3
New City,2005,9
New City,2006,8
New City,2007,8
New City,2008,10
New City,2009,7
West Elsdon,2005,5
West Elsdon,2006,1
West Elsdon,2007,5
West Elsdon,2008,2
West Elsdon,2009,1
Gage Park,2005,7
Gage Park,2006,4
